"phase","days","cadence","owner","activity","evidence","acceptance_gate"
"stabilize","1-3","once","deployment_owner","Confirm deployment package owner and secret owner","owner map with deployment_owner, operations_owner, security_owner, finance_owner","Every critical area has one accountable owner"
"stabilize","1-7","once","deployment_owner","Deploy Week 19 package to staging or selected baseline host","compose ps output, HTTPS URL, /healthz status","n8n reachable through HTTPS"
"stabilize","1-7","once","operations_owner","Verify /healthz and /healthz/readiness checks","timestamped health and readiness output","/healthz and /healthz/readiness return 200"
"stabilize","4-10","once","security_owner","Store N8N_ENCRYPTION_KEY and POSTGRES_PASSWORD in secret store","secret inventory and access owner","Secrets are recoverable and not stored in plaintext repo"
"stabilize","8-14","once","operations_owner","Run first backup and restore drill","pg_dump file, restore notes, credential-backed workflow test","Restore proves DB, credentials, and webhook work"
"operate","15-21","weekly","operations_owner","Review logs and incident notes","log review notes and open incidents","No unresolved P0/P1 incidents"
"operate","15-30","monthly","security_owner","Run n8n security audit","audit output and remediation list","Risky findings have owners and dates"
"operate","15-30","monthly","deployment_owner","Run update window with backup first","release notes, previous image tag, target image tag, readiness evidence","Update or deferred update has explicit reason"
"operate","22-30","monthly","finance_owner","Set baseline cost and budget alerts","cost baseline, storage alert, egress alert","Budget alert exists for chosen platform"
"measure","31-45","biweekly","data_owner","Review execution data retention and DB growth","DB size trend and pruning settings","Retention policy is documented and applied"
"measure","31-60","biweekly","operations_owner","Review memory, CPU, active executions, and webhook latency","metrics snapshot or log-derived trend","No sustained capacity breach without owner"
"measure","45-60","monthly","workflow_owner","Review top workflows by risk and business value","workflow risk register","High-value workflows have owner and failure path"
"measure","45-60","monthly","security_owner","Review credentials and unused credentials","credential inventory and cleanup note","Unused or risky credentials are removed or justified"
"decide","61-75","once","platform_owner","Evaluate concurrency control before queue mode","active executions trend and N8N_CONCURRENCY_PRODUCTION_LIMIT decision","Concurrency decision is recorded"
"decide","61-90","once","platform_owner","Evaluate queue mode gate","Redis/worker spike plan, DB connection review, rollback plan","Queue mode is approved, deferred, or rejected with evidence"
"decide","75-90","once","product_owner","Evaluate n8n Cloud or PaaS for low-ops cases","execution estimate and plan fit","Low-ops route has owner and migration note"
"decide","75-90","once","platform_owner","Evaluate AWS/GCP only if enterprise gates are true","VPC/IAM/audit/RPO/RTO/FinOps checklist","AWS/GCP decision is evidence-based"
"decide","85-90","once","business_owner","Hold 90-day review and next-stage sign-off","scorecard, owner list, next 90-day backlog","Next-stage decision has owner, budget, and deadline"
