"category","question","if_no","if_yes","evidence_required","decision"
"state","Are workflows and credentials already on PostgreSQL instead of SQLite?","Stay on single instance work; migrate to PostgreSQL first.","Continue evaluating scaling needs.","DB_TYPE=postgresdb and restore drill evidence","PostgreSQL first"
"recovery","Has Week 14 backup and restore drill passed?","Do not add Redis workers or Kubernetes yet.","Continue to metrics review.","Backup ID and restore drill result","Recovery before scale"
"observability","Do you know p95 latency, failed executions, active executions, memory, CPU, DB storage, and DB connections?","Enable logs and metrics before scaling.","Use metrics to identify bottleneck.","Dashboard or metric export","Observe before scale"
"regular_mode","Have you tried N8N_CONCURRENCY_PRODUCTION_LIMIT in regular mode?","Set production concurrency limit before queue mode.","Check whether queues still build up.","Configured limit and execution queue behavior","Tune single instance first"
"single_instance","Is pressure only occasional CPU or memory spike?","Use metrics to classify the pressure first.","Increase vCPU/RAM, tune workflows, and prune data before Redis.","CPU and memory trend","Scale up before scale out"
"execution_data","Is database growth caused by execution data retention?","Measure database growth and retention first.","Tune pruning and saved execution policy before adding workers.","Execution data settings and DB growth chart","Fix data policy first"
"binary_data","Is binary data mode queue-compatible?","Do not enter queue mode with filesystem binary data.","Use database or S3 external storage for queue mode.","N8N_DEFAULT_BINARY_DATA_MODE value","Binary mode before workers"
"webhook_latency","Are heavy executions slowing webhook response or editor/API responsiveness?","Do not split webhook processors yet.","Queue mode or separate webhook processors may be justified.","Webhook p95 and editor/API latency","Separate only real bottlenecks"
"redis_readiness","Can Redis be monitored, backed up when relevant, patched, and secured?","Do not make Redis production-critical yet.","Proceed to queue mode design.","Redis health, auth, metrics, alerting","Redis readiness"
"db_connections","Can PostgreSQL handle worker concurrency and connection count?","Reduce worker count or improve DB before scaling workers.","Proceed with worker pool sizing.","DB connection pool and max connections","DB capacity gates workers"
"worker_logs","Will worker logs and metrics be centralized?","Do not add workers yet.","Proceed with queue mode deployment.","Central log sink and worker metrics","Logs before distributed execution"
"webhook_processors","Is webhook ingress volume the bottleneck after queue mode?","Keep webhooks on main or current queue setup.","Add webhook processors and load balancer routing.","Route map and webhook p95","Ingress split only when needed"
"load_balancer","Can load balancer route /webhook/*, /webhook-waiting/*, and /webhook-test/* correctly?","Do not deploy separate webhook processors.","Proceed with ingress split.","LB route tests","Route correctness"
"managed_state","Are DB and Redis managed or operated with mature runbooks?","Avoid Kubernetes and complex multi-node scaling.","Consider higher stages after operations are stable.","Managed service configs or runbooks","State operations first"
"centralized_logs","Are main, webhook processors, workers, Redis, DB, and LB logs centralized?","Do not move to Kubernetes.","Platform orchestration becomes more plausible.","Log source list and alert rules","Central logs before Kubernetes"
"team_skill","Can the team debug Redis queue, worker backlog, DB pool exhaustion, and LB routing?","Stay on simpler queue mode or single instance while training.","Proceed to controlled staging experiments.","Runbook exercise results","Skill before platform"
"kubernetes_need","Do you need rolling deploys, pod scheduling, worker autoscaling, and platform governance?","Do not use Kubernetes as the first answer.","Run Kubernetes spike only after queue mode maturity.","Written platform requirement","Kubernetes last"
"cost","Can the team explain the cost and on-call burden of Kubernetes?","Stay on VPS, PaaS, or managed queue mode architecture.","Plan Kubernetes budget and ownership.","Cost estimate and on-call owner","Cost is part of architecture"
"security","Does scaling preserve Week 15 hardening and patch cadence?","Fix security baseline first.","Proceed with scaling change window.","Hardening checklist and patch policy","Security boundary travels with scale"
"acceptance","Can you describe a path from single container + Postgres to Redis workers without starting with Kubernetes?","Week 16 acceptance fails.","Week 16 acceptance passes.","Documented ladder and runbook","Gradual route accepted"
