"phase","check","pass_signal","fail_signal","required_action","evidence"
"release_notes","Read n8n release notes for target version and all skipped versions","Risk notes, breaking changes, deprecated nodes, and migration notes are recorded","No release note review exists","Do not upgrade until release notes are reviewed","Link to https://docs.n8n.io/release-notes/"
"semantic_versioning","Classify upgrade as patch, minor, or major","Change ticket names previous version, target version, and risk class","Version jump is unclear","Pause and classify risk before touching production","Previous and target image tags"
"image_pinning","Pin n8n image to an explicit tag","docker compose config shows docker.n8n.io/n8nio/n8n:<version>","Compose uses floating latest or unverified tag","Edit compose.yaml to use a pinned version tag","Rendered compose file"
"database_backup","Create PostgreSQL dump with pg_dump -Fc","database.dump exists and pg_restore -l can inspect it","Dump missing, empty, or unreadable","Stop upgrade and rerun backup","database.dump plus pg_restore listing"
"volume_archive","Archive n8n_data and proxy volumes","n8n_data.tgz, caddy_data.tgz, and caddy_config.tgz exist and tar can list them","Any required archive is missing","Stop upgrade and rerun volume archive","tar -tzf output"
"encryption_key","Save N8N_ENCRYPTION_KEY under controlled access","n8n-encryption-key.txt matches production key and chmod is owner-only","Key is missing or not verified","Stop upgrade until key is verified","Secret manager record or checksum"
"compose_env_proxy_config","Save Compose/env/proxy config","compose.yaml, .env, Caddyfile, and docker-compose.rendered.yaml are in backup set","Config missing or rendered compose absent","Stop upgrade and export config","Backup set file list"
"checksum","Write and verify SHA256SUMS","shasum -a 256 -c passes after transfer","Checksum fails or manifest missing","Treat backup as invalid","SHA256SUMS output"
"restore_drill","Run isolated restore drill before production update","n8n starts in restore project, workflows visible, credentials decrypt","Restore drill skipped or fails","Do not upgrade production","Restore drill log"
"pull","Pull pinned target image","docker compose pull n8n succeeds and image digest is recorded","Pull fails or pulls unexpected image","Do not restart production","docker compose images or image inspect"
"restart","Recreate n8n service without deleting volumes","docker compose up -d n8n succeeds and services remain running","Service fails or command used down -v","Rollback or restore depending on damage","docker compose ps"
"smoke_test_editor","Test editor and login","Editor loads and login works","Editor unavailable","Inspect logs and rollback if unresolved","HTTP status and browser check"
"smoke_test_workflows","Verify workflows and credentials","Workflow list opens and credentials show no decryption error","Workflows missing or credentials fail","Check database restore and encryption key, rollback if needed","Screenshot or manual test record"
"smoke_test_execution","Run a low-risk workflow manually","Manual execution succeeds","Execution fails after update","Inspect node error and rollback if production risk exists","Execution ID"
"smoke_test_webhook","Test public webhook and proxy URL","Webhook uses expected HTTPS URL and not localhost","Webhook URL is localhost, old domain, or fails","Fix WEBHOOK_URL, N8N_EDITOR_BASE_URL, N8N_PROXY_HOPS, proxy config","Webhook HTTP status"
"logs","Review n8n logs after update","No migration, encryption, database, permission, or proxy fatal error","Fatal errors appear","Rollback or full restore based on error type","docker compose logs --tail=120 n8n"
"monitoring","Watch latency, failed executions, and restarts","Metrics stay within pre-update baseline","Failures, restarts, or latency rise","Rollback before change window closes","Monitoring dashboard snapshot"
"rollback_image","Rollback by repinning previous image tag","Previous pinned tag starts and smoke tests pass","Previous image cannot run against migrated DB","Use full restore from backup set","Updated compose diff"
"full_restore","Use full restore when image rollback is insufficient","Database, volumes, encryption key, and config are restored from backup","Restore cannot complete inside RTO","Escalate incident and preserve failed state for diagnosis","Restore drill runbook result"
"release_record","Record outcome","Release log includes version, image digest, backup id, restore drill result, smoke tests, and rollback decision","Release log incomplete","Keep change window open until evidence is complete","Change record"
