"category","cost_driver","applies_to","risk_level","how_it_surprises","control","evidence_required"
"app_ram","RAM allocated or consumed by the n8n process","PaaS, Cloud Run, AWS Fargate, VPS","high","Large payloads, binary data, and concurrent executions can force a bigger instance or higher memory allocation","Set concurrency limits, move binary data out of memory, split workflows, monitor memory high-water mark","memory chart, execution size, binary data mode"
"app_cpu","vCPU allocation, CPU seconds, or burst CPU","PaaS, Cloud Run, AWS Fargate, VPS","medium","Code nodes, transformations, PDF/image work, and high concurrency can increase runtime cost or require larger compute","Schedule heavy jobs, use queue workers only after Week 16 gates, cap autoscaling","CPU chart, slow workflow list, queue backlog"
"db_compute","Managed PostgreSQL instance size or database service tier","PaaS, AWS RDS, Cloud SQL, self-managed Postgres","high","The app may be cheap while the database tier becomes the real baseline cost","Right-size DB, monitor connections, use connection pool, review slow queries","DB instance tier, connection count, readiness history"
"db_storage","Execution data, workflow metadata, credential metadata, indexes","All production deployments","high","Saved success executions and binary metadata grow quietly until storage or performance degrades","execution pruning, retention policy, storage alerts, restore drill","DB storage graph, pruning settings, backup size"
"backup_storage","Database backups, volume snapshots, object versioning","VPS, PaaS, AWS, GCP","medium","Backups are often omitted in cheap estimates but required for production RPO/RTO","Define retention windows, test restore, separate hot and archive backups","backup schedule, restore proof, retention policy"
"object_storage","External storage for binary data and generated files","AWS S3, GCS, PaaS add-ons, n8n external storage","medium","Attachments and workflow-generated files can grow independently of DB size","Lifecycle rules, file size policy, storage alerts","bucket size, lifecycle policy, object count"
"egress","Outbound bandwidth to users, third-party APIs, or cross-region services","Cloud Run, AWS, Fly, Render, Railway, VPS","high","Large webhook responses, binary downloads, or cross-region traffic can make a small app expensive","Avoid cross-region app/DB, cap response size, budget alerts, direct-to-object-storage links","egress graph, region map, large response audit"
"logs","Log ingestion, retention, and search","AWS CloudWatch, GCP Logging, PaaS logs, centralized logging","medium","Debug logs left on in production create log cost and noise","Use info level by default, short debug windows, retention rules, structured JSON logs","log volume, retention days, log level"
"metrics_alerts","Monitoring service and alerting volume","Production PaaS, AWS, GCP, self-hosted Prometheus","medium","More workers and services create more metrics and alert paths","Monitor only actionable signals, define owner and severity","alert list, dashboard, owner map"
"redis_queue","Redis service, memory, persistence, worker connectivity","Queue mode deployments","high","Adding workers creates a Redis baseline cost and can force DB connection upgrades","Use queue mode only after Week 16 gates, monitor Redis memory and queue metrics","Redis plan, queue metrics, worker count"
"queue_workers","Additional worker processes and their CPU/RAM","Queue mode, AWS Fargate, Cloud Run jobs, PaaS workers","high","Horizontal workers increase compute and DB pressure together","Set worker concurrency, DB pool, max replicas, autoscaling limits","worker logs, DB connections, queue backlog"
"autoscaling","Scale-to-zero, max instances, or horizontal replicas","Cloud Run, AWS, Fly, Render, Railway","high","Autoscaling can protect availability but multiply compute, DB, logs, and egress cost","Set max instances, budget alerts, load test before raising limits","max instance setting, budget alert, load-test result"
"persistent_disk","Volume or disk attached to app or database","VPS, Render, Fly, self-managed DB","medium","A cheap app plan may not include durable disk or disk expansion can be manual","Use managed DB where possible, monitor disk, document volume restore","disk size, mount path, snapshot proof"
"public_endpoint_lb","Load balancer, public IPv4, TLS endpoint, static IP","AWS, GCP, VPS, PaaS","medium","Small apps can pay nontrivial baseline for LB or public network resources","Use simpler managed endpoint for small cases, share only where isolation remains safe","LB config, certificate, DNS record"
"support_plan","Vendor support, paid SLA, enterprise features","n8n Cloud, AWS, GCP, PaaS","medium","Support expectations may be promised to clients without being priced","Match client SLA to paid support and maintenance contract","support plan, SLA, client contract"
"maintenance_labor","Patch, backup, incident response, security review","All self-hosted and semi-managed routes","high","Human time can exceed infrastructure bill, especially for agencies and freelancers","Retainer, update windows, incident note discipline, standard blueprint","hours log, patch calendar, incident notes"
"security_compliance","SSO, audit logs, private networking, secrets management","Agency and production deployments","high","Compliance requirements can force enterprise plans or hyperscaler architecture","Decide compliance boundary before platform choice","security requirements, audit needs, secret inventory"
"vendor_lock_in","Platform-specific deploy model, databases, secrets, networking","PaaS, AWS, GCP, n8n Cloud","medium","Migration later can require DNS, env, DB, storage, credentials, and OAuth changes","Keep workflow exports, DB backups, env inventory, migration runbook","export date, backup date, env inventory"
"client_isolation","Per-client instance, DB, credentials, domains, logs","Agency deployments","high","Saving money by sharing instances creates privacy and blast-radius risk","One client per instance or strict tenant boundary, separate backups and keys","client map, instance id, DB id, encryption key owner"
"free_tier_limits","Free service sleep, low resources, usage caps, deleted inactive resources","Render, Railway, Fly, Cloud free tiers","high","Free tiers are learning tools; production webhooks may sleep, throttle, or hit caps","Use paid plans for production, define uptime and support expectations","plan name, sleep behavior, uptime proof"
